Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
1/21/2013 17:20:00,TACUAREMBO,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,14,M,0,CAMIONETA,RUTA 26 km. 348,-31.7361869,-55.9926063
1/21/2013 18:40:00,DURAZNO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,58,M,0,CAMION,RUTA 5 km. 185.300,-32.9807436,-56.650692
1/22/2013 4:18:00,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,10,AUTO,AVENIDA JUAN ANTONIO LAVALLEJA esq. ROMAN GUERRA,-34.9046546,-54.9566375
1/23/2013 22:28:00,TACUAREMBO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,46,M,0,CAMIONETA,RUTA 5 km. 377.9,-31.7063755,-56.0057081
1/24/2013 10:26:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,1,CAMION,JOSE LLUPES esq. VITORIA,-34.8499863,-56.2267784
1/28/2013 3:40:00,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,17,M,1,,25 DE AGOSTO esq. LOACES,-33.9418602,-57.8107681
1/28/2013 7:00:00,FLORIDA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,55,M,0,CAMION,RUTA 5 km. 99,-33.7297462,-56.3249493
1/30/2013 20:00:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,65,M,0,OMNIBUS,RUTA 15 km. 175,-34.4878288,-54.319523
1/30/2013 21:15:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,0,MOTO,AMERICO VESPUCIO esq. AGRACIADA,-34.516667,-56.283333
1/30/2013 22:45:00,MONTEVIDEO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,34,M,0,,AVENIDA GENERAL RIVERA esq. AVENIDA BOLIVIA,-34.8908653,-56.0727022
