Fecha y hora,Departamento,JurisdicciÆn ,Tipo de siniestro,Veh–culo,Rol,Edad,Sexo,Fallecido a los (D–as),Otro veh–culo,Lugar del Siniestro,0.0,0.0
13/01/2013 22:30,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,58,M,0,AUTO,RUTA 9 km. 263.800,-34.4878288,-54.319523
14/01/2013 01:10,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,29,F,0,CAMION,CAMINO DEPARTAMENTAL a RIVERA Y RUTA 31 KM 13,-31.3049793,-57.7194214
14/01/2013 02:50,CANELONES,NACIONAL,DESPISTE,AUTO,CONDUCTOR,28,M,0,,RUTA 11 km. 165,-34.5214738,-56.2999351
15/01/2013 16:40,MALDONADO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,19,F,0,CAMIONETA,RUTA 93 km. 110,-34.9119265,-54.9900793
16/01/2013 14:30,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,1,AUTO,COLORADO esq. QUIJOTE,-34.8762561,-56.1655969
17/01/2013 08:00,CERRO LARGO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,MOTO,BOLIVIA casi Batalla de las Piedras Barrio Berbat Rivero,-31.9625702,-54.1271515
18/01/2013 14:00,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,36,M,1,CAMION,RUTA 75 esq. PELUFFO,-34.516667,-56.28333300000001
18/01/2013 17:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,61,M,1,CAMIONETA,AVENIDA JOSE PEDRO VARELA esq. CAMINO CORRALES,-34.86139070000001,-56.1408341
19/01/2013 23:20,FLORIDA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,16,F,1,CAMIONETA,AVENIDA ARTIGAS esq. A. SIERRA,-34.0937854,-56.2209367
20/01/2013 02:00,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,45,M,0,AUTO,RUTA INTERBALNEARIA km. 66,-34.7900943,-55.92794
20/01/2013 19:40,RIVERA,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,82,M,0,MOTO,AV. LIBANO  esq. TABARê,-30.9019909,-55.5236282
21/01/2013 17:20,TACUAREMBO,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,14,M,0,CAMIONETA,RUTA 26 km. 348,-31.7361869,-55.99260630000001
21/01/2013 18:40,DURAZNO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,58,M,0,CAMION,RUTA 5 km. 185.300,-32.9807436,-56.650692
22/01/2013 04:18,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,10,AUTO,AVENIDA JUAN ANTONIO LAVALLEJA esq. ROMAN GUERRA,-34.9046546,-54.95663750000001
23/01/2013 22:28,TACUAREMBO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,46,M,0,CAMIONETA,RUTA 5 km. 377.9,-31.7063755,-56.0057081
24/01/2013 10:26,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,1,CAMION,JOSE LLUPES esq. VITORIA,-34.8499863,-56.2267784
28/01/2013 03:40,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,17,M,1,,25 DE AGOSTO esq. LOACES,-33.9418602,-57.8107681
28/01/2013 07:00,FLORIDA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,55,M,0,CAMION,RUTA 5 km. 99,-33.7297462,-56.3249493
30/01/2013 20:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,65,M,0,OMNIBUS,RUTA 15 km. 175,-34.4878288,-54.319523
30/01/2013 21:15,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,0,MOTO,AMERICO VESPUCIO esq. AGRACIADA,-34.516667,-56.28333300000001
30/01/2013 22:45,MONTEVIDEO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,34,M,0,,AVENIDA GENERAL RIVERA esq. AVENIDA BOLIVIA,-34.8908653,-56.07270219999999
31/01/2013 11:55,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,14,CAMION,RUTA INTERBALNEARIA esq. CALLE A,-34.516667,-56.28333300000001
31/01/2013 16:10,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,14,M,1,CAMIONETA,GRITO DE ASENCIO esq. WASHINGTON,-32.3134362,-58.0825466
31/01/2013 19:30,SAN JOSE,NACIONAL,COLISION CON OBSTACULO,AUTO,CONDUCTOR,40,M,1,,RUTA 1 km. 32.500,-34.7536068,-56.4131806
